

192.168.54.1|October 30, 2013, 1:55 pm|Enters Poll
192.168.54.1|October 30, 2013, 1:58 pm|Enters Poll
192.168.54.1|October 30, 2013, 1:59 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:00 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:00 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:00 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:00 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:03 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:03 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:03 pm|Vote received on Yes
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:31 pm|Vote received on Yes
192.168.54.1|October 30, 2013, 2:31 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:31 pm|Vote received on No
192.168.54.1|October 30, 2013, 2:32 pm|Views results
192.168.54.1|October 30, 2013, 2:32 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:24 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:24 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:24 pm|Vote received on Yes
UNKNOWN|October 31, 2013, 8:24 pm|Views results
UNKNOWN|October 31, 2013, 8:24 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:24 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:25 pm|Vote received on Yes
::1|March 26, 2020, 10:41 pm|Enters Poll
::1|March 26, 2020, 10:41 pm|Enters Poll
::1|March 26, 2020, 10:41 pm|Enters Poll
::1|March 26, 2020, 10:41 pm|Vote received on Yes
::1|March 26, 2020, 10:41 pm|Views results
::1|March 26, 2020, 10:41 pm|Views results
::1|March 26, 2020, 10:41 pm|Enters Poll
::1|March 26, 2020, 10:41 pm|Clicked vote button without choosing an item
::1|March 26, 2020, 10:41 pm|Enters Poll
::1|March 26, 2020, 11:42 pm|Enters admincenter
::1|March 26, 2020, 11:42 pm|WRONG PASSWORD ENTERED IN ADMINCENTER
::1|March 26, 2020, 11:42 pm|Enters admincenter
::1|March 26, 2020, 11:42 pm|Enters admincenter
